거래처,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
라쿨 주식회사(구.신정우),수금,33583653.0,33820833.0,21942803.0,42820322.0,36686540.0,35673777.0,33245416.0,0,0.0,0.0,0.0,0.0
라쿨 주식회사(구.신정우),잔액,33820833.0,21942804.0,42820322.0,36686540.0,35673777.0,33245415.0,35026156.0,53209793,0.0,0.0,0.0,0.0
마스터엔지니어링,이월,957880.0,1222980.0,1836560.0,1210440.0,1120240.0,1711380.0,1392710.0,1556170,0.0,0.0,0.0,0.0
마스터엔지니어링,매출,564740.0,613580.0,596860.0,523380.0,591140.0,801570.0,754600.0,944350,0.0,0.0,0.0,0.0
마스터엔지니어링,수금,299640.0,0.0,1222980.0,613580.0,0.0,1120240.0,591140.0,0,0.0,0.0,0.0,0.0
마스터엔지니어링,잔액,1222980.0,1836560.0,1210440.0,1120240.0,1711380.0,1392710.0,1556170.0,2500520,0.0,0.0,0.0,0.0
명성씨엠아이,이월,-4290000.0,-4290000.0,-4290000.0,0.0,0.0,77000.0,77000.0,0,0.0,0.0,0.0,0.0
명성씨엠아이,매출,0.0,0.0,4290000.0,0.0,77000.0,0.0,242000.0,0,0.0,0.0,0.0,0.0
명성씨엠아이,수금,0.0,0.0,0.0,0.0,0.0,0.0,319000.0,0,0.0,0.0,0.0,0.0
명성씨엠아이,잔액,-4290000.0,-4290000.0,0.0,0.0,77000.0,77000.0,0.0,0,0.0,0.0,0.0,0.0
명성코리아테크놀러지,이월,9450650.0,2732400.0,3796100.0,6370705.0,1392600.0,4415642.0,8624605.0,6208763,0.0,0.0,0.0,0.0
명성코리아테크놀러지,매출,2732400.0,1063700.0,2574605.0,1392600.0,3023042.0,4208963.0,1999800.0,1719850,0.0,0.0,0.0,0.0
명성코리아테크놀러지,수금,9450650.0,0.0,0.0,6370705.0,0.0,0.0,4415642.0,6208763,0.0,0.0,0.0,0.0
명성코리아테크놀러지,잔액,2732400.0,3796100.0,6370705.0,1392600.0,4415642.0,8624605.0,6208763.0,1719850,0.0,0.0,0.0,0.0
명인ENG,이월,541200.0,1227600.0,864600.0,208120.0,1204170.0,1385120.0,515460.0,118580,0.0,0.0,0.0,0.0
명인ENG,매출,845900.0,744700.0,208120.0,1171500.0,460460.0,441650.0,118580.0,90200,0.0,0.0,0.0,0.0
명인ENG,수금,159500.0,1107700.0,864600.0,175450.0,279510.0,1311310.0,515460.0,0,0.0,0.0,0.0,0.0
명인ENG,잔액,1227600.0,864600.0,208120.0,1204170.0,1385120.0,515460.0,118580.0,208780,0.0,0.0,0.0,0.0
모베이스전자,이월,14100405.0,13410270.0,15558141.0,14565675.0,12760443.0,9954522.0,9540883.0,5123536,0.0,0.0,0.0,0.0
모베이스전자,매출,4903292.0,7767333.0,4684829.0,5592279.0,4362243.0,5178641.0,5123536.0,3324008,0.0,0.0,0.0,0.0
모베이스전자,수금,5593427.0,5619462.0,5677294.0,7397511.0,7168164.0,5592279.0,9540883.0,0,0.0,0.0,0.0,0.0
모베이스전자,잔액,13410270.0,15558141.0,14565675.0,12760443.0,9954522.0,9540883.0,5123536.0,8447544,0.0,0.0,0.0,0.0
모소디엔엠(구.한성포장),이월,5203704.0,0.0,0.0,4983341.0,0.0,5343360.0,5514366.0,24007984,0.0,0.0,0.0,0.0
모소디엔엠(구.한성포장),매출,0.0,0.0,4983341.0,0.0,5343360.0,5514366.0,24007984.0,5808660,0.0,0.0,0.0,0.0
모소디엔엠(구.한성포장),수금,5203704.0,0.0,0.0,4983341.0,0.0,5343360.0,5514366.0,0,0.0,0.0,0.0,0.0
모소디엔엠(구.한성포장),잔액,0.0,0.0,4983341.0,0.0,5343360.0,5514366.0,24007984.0,29816644,0.0,0.0,0.0,0.0
무한상사,이월,103558400.0,37322120.0,74851040.0,74854120.0,83038780.0,106564238.0,132106832.0,183320599,0.0,0.0,0.0,0.0
무한상사,매출,37322120.0,37528920.0,37325200.0,45713580.0,60850658.0,71256174.0,112064425.0,103254800,0.0,0.0,0.0,0.0
무한상사,수금,103558400.0,0.0,37322120.0,37528920.0,37325200.0,45713580.0,60850658.0,71256174,0.0,0.0,0.0,0.0
무한상사,잔액,37322120.0,74851040.0,74854120.0,83038780.0,106564238.0,132106832.0,183320599.0,215319225,0.0,0.0,0.0,0.0
밀성산업가스,이월,0.0,0.0,0.0,0.0,0.0,0.0,726000.0,0,0.0,0.0,0.0,0.0
밀성산업가스,매출,0.0,0.0,0.0,0.0,0.0,726000.0,0.0,0,0.0,0.0,0.0,0.0
밀성산업가스,수금,0.0,0.0,0.0,0.0,0.0,0.0,726000.0,0,0.0,0.0,0.0,0.0
밀성산업가스,잔액,0.0,0.0,0.0,0.0,0.0,726000.0,0.0,0,0.0,0.0,0.0,0.0
반석리퀴드앤이엔지,이월,5860250.0,5860250.0,11729575.0,5869325.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
반석리퀴드앤이엔지,매출,0.0,5869325.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
반석리퀴드앤이엔지,수금,0.0,0.0,5860250.0,5869325.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
반석리퀴드앤이엔지,잔액,5860250.0,11729575.0,5869325.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
보성엔지니어링(구.신세계),이월,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,6196023,0.0,0.0,0.0,0.0
보성엔지니어링(구.신세계),매출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
보성엔지니어링(구.신세계),수금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196023,0.0,0.0,0.0,0.0
보성엔지니어링(구.신세계),잔액,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,6196023.0,4000000,0.0,0.0,0.0,0.0
부경가스텍,이월,9426528.0,8762507.0,8343500.0,8185975.0,8972638.0,9369073.0,9482813.0,9429251,0.0,0.0,0.0,0.0
부경가스텍,매출,4377692.0,3965808.0,4220168.0,4752471.0,4616603.0,4730343.0,4698910.0,4676368,0.0,0.0,0.0,0.0
부경가스텍,수금,5041713.0,4384815.0,4377692.0,3965808.0,4220168.0,4616603.0,4752472.0,4730343,0.0,0.0,0.0,0.0
부경가스텍,잔액,8762507.0,8343500.0,8185975.0,8972638.0,9369073.0,9482813.0,9429251.0,9375276,0.0,0.0,0.0,0.0
부림가스,이월,1830895.0,1880120.0,3219920.0,4324100.0,1401565.0,3325630.0,4605370.0,3223000,0.0,0.0,0.0,0.0
부림가스,매출,1880120.0,3219920.0,4324100.0,1401565.0,3325630.0,1279740.0,1943260.0,1458545,0.0,0.0,0.0,0.0
부림가스,수금,1830895.0,1880120.0,3219920.0,4324100.0,1401565.0,0.0,3325630.0,1279740,0.0,0.0,0.0,0.0
부림가스,잔액,1880120.0,3219920.0,4324100.0,1401565.0,3325630.0,4605370.0,3223000.0,3401805,0.0,0.0,0.0,0.0
부성스틸,이월,2887616.0,1273224.0,1549115.0,1291818.0,1341533.0,1311173.0,1374930.0,2796536,0.0,0.0,0.0,0.0
부성스틸,매출,1273223.0,1549114.0,1291818.0,1341533.0,1311173.0,1374929.0,2796536.0,1388211,0.0,0.0,0.0,0.0
부성스틸,수금,2887615.0,1273222.0,1549115.0,1291818.0,1341532.0,1311172.0,1374929.0,0,0.0,0.0,0.0,0.0
부성스틸,잔액,1273224.0,1549115.0,1291818.0,1341533.0,1311173.0,1374930.0,2796536.0,4184747,0.0,0.0,0.0,0.0
비엘티(구.에스앤케이),이월,937200.0,8778836.0,4314882.0,3409230.0,4126749.0,3051290.0,11073964.0,4157703,0.0,0.0,0.0,0.0
비엘티(구.에스앤케이),매출,8778836.0,4314882.0,3409230.0,4126749.0,3051290.0,8022674.0,4157703.0,4090009,0.0,0.0,0.0,0.0
비엘티(구.에스앤케이),수금,937200.0,8778836.0,4314882.0,3409230.0,4126749.0,0.0,11073964.0,4157703,0.0,0.0,0.0,0.0
