영업담당자,거래처,매출일,품목명,입고량,출고량,단가,매출액
담당자없음,Z가스코아산(파라텍3),02/22,"N2 (LGC, 175L)",3,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),02/22,"N2 (LGC, 175L, 고압용)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),02/24,"Ar (LGC, 175L)",1,0,"144,900",0
담당자없음,Z가스코아산(파라텍3),02/24,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),02/24,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),02/28,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),02/28,"N2 (LGC, 175L)",3,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),02/28,"N2 (LGC, 175L, 고압용)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/02,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),03/02,"N2 (LGC, 175L)",1,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),03/02,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),03/06,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),03/07,"Ar (LGC, 175L)",3,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),03/07,"N2 (LGC, 175L)",5,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/07,"N2 (LGC, 175L, 고압용)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),03/09,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),03/09,"N2 (LGC, 175L)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/09,"N2 (LGC, 175L, 고압용)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/14,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/14,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),03/18,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),03/21,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),03/21,"N2 (LGC, 175L)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),03/21,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),03/22,Ar (일반),3,5,"15,000","75,000"
담당자없음,Z가스코아산(파라텍3),03/28,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),03/28,"N2 (LGC, 175L)",3,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),03/28,"N2 (LGC, 175L, 고압용)",1,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),03/29,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),03/29,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),03/31,Ar (일반),0,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),03/31,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),03/31,"N2 (LGC, 175L, 고압용)",3,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),04/04,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),04/04,"N2 (LGC, 175L)",2,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),04/04,"N2 (LGC, 175L, 고압용)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),04/11,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),04/11,"N2 (LGC, 175L, 고압용)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),04/14,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),04/14,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),04/14,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),04/18,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),04/18,"Ar (LGC, 175L)",2,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),04/18,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),04/18,"N2 (LGC, 175L, 고압용)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),04/20,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),04/20,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),04/20,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),04/25,Ar (일반),5,5,"15,000","75,000"
담당자없음,Z가스코아산(파라텍3),04/25,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),04/25,"N2 (LGC, 175L, 고압용)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/03,Ar (일반),8,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),05/03,"Ar (LGC, 175L)",2,3,"144,900","434,700"
담당자없음,Z가스코아산(파라텍3),05/03,"N2 (LGC, 175L)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/03,"N2 (LGC, 175L, 고압용)",3,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/08,Ar (일반),1,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),05/08,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/08,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/10,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),05/10,"N2 (LGC, 175L, 고압용)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/11,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),05/11,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/12,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/15,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),05/16,Ar (일반),5,4,"15,000","60,000"
담당자없음,Z가스코아산(파라텍3),05/16,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),05/16,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/16,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/19,Ar (일반),0,2,"15,000","30,000"
담당자없음,Z가스코아산(파라텍3),05/19,"Ar (LGC, 175L)",1,0,"144,900",0
담당자없음,Z가스코아산(파라텍3),05/19,"N2 (공업용, 40L)",1,2,"4,830","9,660"
담당자없음,Z가스코아산(파라텍3),05/19,"N2 (LGC, 175L)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),05/22,Ar (일반),4,4,"15,000","60,000"
담당자없음,Z가스코아산(파라텍3),05/22,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),05/22,"N2 (LGC, 175L)",1,1,0,0
담당자없음,Z가스코아산(파라텍3),05/22,"N2 (LGC, 175L, 고압용)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/24,"N2 (LGC, 175L)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),05/24,"N2 (LGC, 175L, 고압용)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),05/26,"N2 (LGC, 175L)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/31,Ar (일반),4,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),05/31,"N2 (LGC, 175L)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),05/31,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),06/08,Ar (일반),3,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),06/08,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),06/08,"N2 (LGC, 175L)",2,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),06/08,"N2 (LGC, 175L, 고압용)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),06/12,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),06/12,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),06/14,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),06/14,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),06/14,"N2 (LGC, 175L, 고압용)",1,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),06/20,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),06/27,Ar (일반),3,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍3),06/27,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),07/04,"Ar (LGC, 175L)",2,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),07/04,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/04,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/11,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),07/11,C2H2 (3kg),1,0,"50,000",0
담당자없음,Z가스코아산(파라텍3),07/11,"N2 (LGC, 175L)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),07/11,"N2 (LGC, 175L, 고압용)",4,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍3),07/11,"O2 (공업용, 40L)",1,0,"4,830",0
담당자없음,Z가스코아산(파라텍3),07/14,"N2 (LGC, 175L)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/14,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/18,"N2 (LGC, 175L)",2,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),07/18,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),07/18,"N2 (LGC, 175L, 고압용)",0,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),07/19,"N2 (LGC, 175L)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/19,"N2 (LGC, 175L, 고압용)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/20,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍3),07/24,"Ar (LGC, 175L)",2,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),07/24,"N2 (LGC, 175L)",0,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),07/24,"N2 (LGC, 175L, 고압용)",3,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),07/26,"Ar (LGC, 175L)",1,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),07/26,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/31,Ar (일반),1,0,"15,000",0
담당자없음,Z가스코아산(파라텍3),07/31,"Ar (일반, 10.2L)",4,0,"5,250",0
담당자없음,Z가스코아산(파라텍3),07/31,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),07/31,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),07/31,"N2 (LGC, 175L, 고압용)",1,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),08/03,Ar (일반),3,3,"15,000","45,000"
