영업담당자,거래처,매출일,품목명,입고량,출고량,단가,매출액
담당자없음,가스코아산.,07/24,"CO2 (kg, Bulk)",0,"2,088",210,"438,480"
담당자없음,가스코아산.,07/24,"CO2 (kg, Bulk)",0,"2,604",210,"546,840"
담당자없음,가스코아산.,07/24,"CO2 (kg, Bulk)",0,"7,083",210,"1,487,430"
담당자없음,가스코아산.,07/24,"CO2 (kg, Bulk)",0,"11,707",210,"2,458,470"
담당자없음,가스코아산.,07/24,"O2 (kg, Bulk)",0,"3,582",160,"573,120"
담당자없음,가스코아산.,07/25,입금 (가스매출),0,0,0,0
담당자없음,가스코아산.,07/25,"Ar (kg, Bulk)",0,"3,017",500,"1,508,500"
담당자없음,가스코아산.,07/25,"CO2 (kg, Bulk)",0,"5,370",210,"1,127,700"
담당자없음,가스코아산.,07/25,"CO2 (kg, Bulk)",0,"4,275",210,"897,750"
담당자없음,가스코아산.,07/26,"Ar (kg, Bulk)",0,"4,860",490,"2,381,400"
담당자없음,가스코아산.,07/26,"Ar (kg, Bulk)",0,"6,010",500,"3,005,000"
담당자없음,가스코아산.,07/26,"Ar (kg, Bulk)",0,"4,292",500,"2,146,000"
담당자없음,가스코아산.,07/26,"Ar (kg, Bulk)",0,"4,060",500,"2,030,000"
담당자없음,가스코아산.,07/26,"CO2 (kg, Bulk)",0,"15,000",210,"3,150,000"
담당자없음,가스코아산.,07/26,"CO2 (kg, Bulk)",0,"6,370",210,"1,337,700"
담당자없음,가스코아산.,07/26,"N2 (kg, Bulk)",0,"3,293",155,"510,415"
담당자없음,가스코아산.,07/26,"O2 (kg, Bulk)",0,"3,026",160,"484,160"
담당자없음,가스코아산.,07/27,"CO2 (UHP, 20kg, 99.995%)",2,0,"35,000",0
담당자없음,가스코아산.,07/27,"Mix (UHP, H2 0.15% + CO 5% + CO2 14% + N2 18% + He Bal)",3,0,"270,000",0
담당자없음,가스코아산.,07/27,"N2 (kg, Bulk)",0,"11,468",145,"1,662,860"
담당자없음,가스코아산.,07/27,"O2 (kg, Bulk)",0,"17,482",140,"2,447,480"
담당자없음,가스코아산.,07/28,"Ar (kg, Bulk)",0,"2,518",500,"1,259,000"
담당자없음,가스코아산.,07/28,"Ar (kg, Bulk)",0,"6,210",500,"3,105,000"
담당자없음,가스코아산.,07/28,"Ar (kg, Bulk)",0,"3,632",500,"1,816,000"
담당자없음,가스코아산.,07/28,"Ar (kg, Bulk)",0,"16,206",485,"7,859,910"
담당자없음,가스코아산.,07/28,"N2 (kg, Bulk)",0,"3,528",155,"546,840"
담당자없음,가스코아산.,07/28,"N2 (kg, Bulk)",0,"1,711",155,"265,205"
담당자없음,가스코아산.,07/29,"CO2 (kg, Bulk)",0,"4,934",210,"1,036,140"
담당자없음,가스코아산.,07/29,"CO2 (kg, Bulk)",0,"5,286",210,"1,110,060"
담당자없음,가스코아산.,07/29,"CO2 (kg, Bulk)",0,"11,570",210,"2,429,700"
담당자없음,가스코아산.,07/30,"CO2 (kg, Bulk)",0,"9,771",210,"2,051,910"
담당자없음,가스코아산.,07/31,"O2 (UHP, 47L, 99.995%)",5,0,"31,500",0
담당자없음,가스코아산.,08/01,"Ar (kg, Bulk)",0,"3,065",500,"1,532,500"
담당자없음,가스코아산.,08/01,"Ar (kg, Bulk)",0,"4,160",500,"2,080,000"
담당자없음,가스코아산.,08/01,"Ar (kg, Bulk)",0,"6,250",500,"3,125,000"
담당자없음,가스코아산.,08/01,"N2 (kg, Bulk)",0,"2,506",155,"388,430"
담당자없음,가스코아산.,08/01,"N2 (kg, Bulk)",0,"5,863",155,"908,765"
담당자없음,가스코아산.,08/02,"CO2 (kg, Bulk)",0,"6,042",210,"1,268,820"
담당자없음,가스코아산.,08/02,"CO2 (kg, Bulk)",0,"15,305",210,"3,214,050"
담당자없음,가스코아산.,08/02,"N2 (kg, Bulk)",0,"3,330",155,"516,150"
담당자없음,가스코아산.,08/03,"Ar (kg, Bulk)",0,"5,450",500,"2,725,000"
담당자없음,가스코아산.,08/03,"Ar (kg, Bulk)",0,"1,330",500,"665,000"
담당자없음,가스코아산.,08/03,"Ar (kg, Bulk)",0,"5,920",490,"2,900,800"
담당자없음,가스코아산.,08/03,"Ar (kg, Bulk)",0,"3,838",500,"1,919,000"
담당자없음,가스코아산.,08/03,"N2 (kg, Bulk)",0,"4,250",145,"616,250"
담당자없음,가스코아산.,08/03,"O2 (kg, Bulk)",0,"7,384",140,"1,033,760"
담당자없음,가스코아산.,08/03,"O2 (kg, Bulk)",0,"2,907",160,"465,120"
담당자없음,가스코아산.,08/04,"Ar (kg, Bulk)",0,"14,651",485,"7,105,735"
담당자없음,가스코아산.,08/04,"Ar (kg, Bulk)",0,"5,221",500,"2,610,500"
담당자없음,가스코아산.,08/04,"Ar (kg, Bulk)",0,"3,778",500,"1,889,000"
담당자없음,가스코아산.,08/04,"N2 (kg, Bulk)",0,"3,698",155,"573,190"
담당자없음,가스코아산.,08/04,"N2 (kg, Bulk)",0,"4,504",155,"698,120"
담당자없음,가스코아산.,08/04,"N2 (kg, Bulk)",0,"3,805",155,"589,775"
담당자없음,가스코아산.,08/06,"CO2 (kg, Bulk)",0,"3,132",210,"657,720"
담당자없음,가스코아산.,08/07,"Ar (kg, Bulk)",0,"2,730",500,"1,365,000"
담당자없음,가스코아산.,08/07,"CO2 (kg, Bulk)",0,"4,110",210,"863,100"
담당자없음,가스코아산.,08/07,"CO2 (kg, Bulk)",0,"4,580",210,"961,800"
담당자없음,가스코아산.,08/07,"CO2 (kg, Bulk)",0,"5,000",210,"1,050,000"
담당자없음,가스코아산.,08/07,"N2 (kg, Bulk)",0,"2,714",155,"420,670"
담당자없음,가스코아산.,08/07,"N2 (kg, Bulk)",0,"7,267",155,"1,126,385"
담당자없음,가스코아산.,08/07,"O2 (kg, Bulk)",0,"4,310",145,"624,950"
담당자없음,가스코아산.,08/07,"O2 (kg, Bulk)",0,"3,614",160,"578,240"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"2,735",500,"1,367,500"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"5,980",500,"2,990,000"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"4,390",500,"2,195,000"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"1,520",500,"760,000"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"3,297",500,"1,648,500"
담당자없음,가스코아산.,08/08,"Ar (kg, Bulk)",0,"3,578",500,"1,789,000"
담당자없음,가스코아산.,08/08,"CO2 (kg, Bulk)",0,"8,540",210,"1,793,400"
담당자없음,가스코아산.,08/08,"CO2 (kg, Bulk)",0,"3,684",210,"773,640"
담당자없음,가스코아산.,08/08,"CO2 (kg, Bulk)",0,"8,030",210,"1,686,300"
담당자없음,가스코아산.,08/09,"Ar (kg, Bulk)",0,"5,860",490,"2,871,400"
담당자없음,가스코아산.,08/09,"Ar (kg, Bulk)",0,"2,420",500,"1,210,000"
담당자없음,가스코아산.,08/09,"CO2 (kg, Bulk)",0,"10,010",210,"2,102,100"
담당자없음,가스코아산.,08/09,"CO2 (kg, Bulk)",0,"5,930",210,"1,245,300"
담당자없음,가스코아산.,08/09,"CO2 (kg, Bulk)",0,"5,661",210,"1,188,810"
담당자없음,가스코아산.,08/09,"N2 (kg, Bulk)",0,"2,732",155,"423,460"
담당자없음,가스코아산.,08/09,"N2 (kg, Bulk)",0,"7,770",145,"1,126,650"
담당자없음,가스코아산.,08/09,"N2 (kg, Bulk)",0,"2,125",155,"329,375"
담당자없음,가스코아산.,08/09,"O2 (kg, Bulk)",0,"8,119",140,"1,136,660"
담당자없음,가스코아산.,08/10,"Ar (kg, Bulk)",0,"2,679",500,"1,339,500"
담당자없음,가스코아산.,08/10,"CO2 (kg, Bulk)",0,"3,001",210,"630,210"
담당자없음,가스코아산.,08/10,"CO2 (kg, Bulk)",0,"2,305",210,"484,050"
담당자없음,가스코아산.,08/10,"O2 (kg, Bulk)",0,"2,814",160,"450,240"
담당자없음,가스코아산.,08/11,"Ar (kg, Bulk)",0,"6,690",500,"3,345,000"
담당자없음,가스코아산.,08/11,"Ar (kg, Bulk)",0,"3,541",500,"1,770,500"
담당자없음,가스코아산.,08/11,"Ar (kg, Bulk)",0,"5,221",500,"2,610,500"
담당자없음,가스코아산.,08/13,"CO2 (kg, Bulk)",0,"4,298",210,"902,580"
담당자없음,가스코아산.,08/14,"Ar (kg, Bulk)",0,"2,512",500,"1,256,000"
담당자없음,가스코아산.,08/14,"Ar (kg, Bulk)",0,"3,860",500,"1,930,000"
담당자없음,가스코아산.,08/14,"CO2 (kg, Bulk)",0,"5,000",210,"1,050,000"
담당자없음,가스코아산.,08/14,"N2 (kg, Bulk)",0,"3,815",155,"591,325"
담당자없음,가스코아산.,08/14,"N2 (kg, Bulk)",0,"9,411",145,"1,364,595"
담당자없음,가스코아산.,08/15,"Ar (kg, Bulk)",0,"10,520",490,"5,154,800"
담당자없음,가스코아산.,08/15,"Ar (kg, Bulk)",0,"20,162",485,"9,778,570"
담당자없음,가스코아산.,08/16,"Ar (kg, Bulk)",0,"1,632",500,"816,000"
담당자없음,가스코아산.,08/16,"Ar (kg, Bulk)",0,"5,020",500,"2,510,000"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"7,310",210,"1,535,100"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"2,450",210,"514,500"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"2,827",210,"593,670"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"2,978",210,"625,380"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"3,828",210,"803,880"
담당자없음,가스코아산.,08/16,"CO2 (kg, Bulk)",0,"7,164",210,"1,504,440"
담당자없음,가스코아산.,08/16,"N2 (kg, Bulk)",0,"4,552",155,"705,560"
담당자없음,가스코아산.,08/16,"N2 (kg, Bulk)",0,"2,023",155,"313,565"
담당자없음,가스코아산.,08/16,"N2 (kg, Bulk)",0,"4,012",155,"621,860"
담당자없음,가스코아산.,08/17,"Ar (kg, Bulk)",0,"3,760",500,"1,880,000"
담당자없음,가스코아산.,08/17,"Ar (kg, Bulk)",0,"9,800",500,"4,900,000"
담당자없음,가스코아산.,08/17,"CO2 (kg, Bulk)",0,"10,002",210,"2,100,420"
담당자없음,가스코아산.,08/17,"CO2 (kg, Bulk)",0,"6,780",210,"1,423,800"
담당자없음,가스코아산.,08/17,"CO2 (kg, Bulk)",0,"4,473",210,"939,330"
담당자없음,가스코아산.,08/17,"N2 (kg, Bulk)",0,"2,018",155,"312,790"
담당자없음,가스코아산.,08/17,"O2 (kg, Bulk)",0,"16,123",140,"2,257,220"
담당자없음,가스코아산.,08/18,"Ar (kg, Bulk)",0,"1,803",500,"901,500"
담당자없음,가스코아산.,08/18,"Ar (kg, Bulk)",0,"4,350",500,"2,175,000"
담당자없음,가스코아산.,08/18,"Ar (kg, Bulk)",0,"4,003",500,"2,001,500"
담당자없음,가스코아산.,08/18,"Ar (kg, Bulk)",0,"3,360",500,"1,680,000"
담당자없음,가스코아산.,08/18,"Ar (kg, Bulk)",0,"4,540",500,"2,270,000"
담당자없음,가스코아산.,08/18,"Mix (UHP, H2 0.15% + CO 5% + CO2 14% + N2 18% + He Bal)",4,0,"270,000",0
담당자없음,가스코아산.,08/18,"N2 (kg, Bulk)",0,"4,965",155,"769,575"
담당자없음,가스코아산.,08/18,"N2 (kg, Bulk)",0,"2,933",155,"454,615"
담당자없음,가스코아산.,08/18,"O2 (kg, Bulk)",0,"3,284",160,"525,440"
담당자없음,가스코아산.,08/18,"O2 (UHP, 47L, 99.995%)",1,0,"31,500",0
담당자없음,가스코아산.,08/18,"O2 (UHP, 47L, 99.999%)",1,0,"45,000",0
담당자없음,가스코아산.,08/19,"Ar (kg, Bulk)",0,"7,600",490,"3,724,000"
담당자없음,가스코아산.,08/19,"Ar (kg, Bulk)",0,"3,340",500,"1,670,000"
담당자없음,가스코아산.,08/20,"CO2 (kg, Bulk)",0,"4,809",210,"1,009,890"
담당자없음,가스코아산.,08/20,"CO2 (kg, Bulk)",0,"11,280",210,"2,368,800"
담당자없음,가스코아산.,08/21,"Ar (kg, Bulk)",0,"2,459",500,"1,229,500"
담당자없음,가스코아산.,08/21,"Ar (kg, Bulk)",0,"2,140",500,"1,070,000"
담당자없음,가스코아산.,08/21,"Ar (kg, Bulk)",0,"8,020",500,"4,010,000"
담당자없음,가스코아산.,08/21,"CO2 (kg, Bulk)",0,"4,850",210,"1,018,500"
담당자없음,가스코아산.,08/21,"CO2 (kg, Bulk)",0,"3,032",210,"636,720"
담당자없음,가스코아산.,08/21,"N2 (kg, Bulk)",0,"3,126",155,"484,530"
담당자없음,가스코아산.,08/21,"N2 (kg, Bulk)",0,"6,602",145,"957,290"
담당자없음,가스코아산.,08/21,"O2 (kg, Bulk)",0,"3,812",160,"609,920"
담당자없음,가스코아산.,08/22,입금 (가스매출),0,0,0,0
담당자없음,가스코아산.,08/22,"Ar (kg, Bulk)",0,"14,715",485,"7,136,775"
담당자없음,가스코아산.,08/22,"Ar (kg, Bulk)",0,"8,264",500,"4,132,000"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"4,148",210,"871,080"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"3,736",210,"784,560"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"13,260",210,"2,784,600"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"3,506",210,"736,260"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"3,114",210,"653,940"
담당자없음,가스코아산.,08/22,"CO2 (kg, Bulk)",0,"2,200",210,"462,000"
담당자없음,가스코아산.,08/23,"Ar (kg, Bulk)",0,"1,863",500,"931,500"
담당자없음,가스코아산.,08/23,"Ar (kg, Bulk)",0,"4,207",500,"2,103,500"
담당자없음,가스코아산.,08/23,"Ar (kg, Bulk)",0,"3,598",500,"1,799,000"
담당자없음,가스코아산.,08/23,"Ar (kg, Bulk)",0,"4,870",500,"2,435,000"
담당자없음,가스코아산.,08/23,"CO2 (kg, Bulk)",0,"9,040",210,"1,898,400"
담당자없음,가스코아산.,08/23,"N2 (kg, Bulk)",0,"3,433",155,"532,115"
담당자없음,가스코아산.,08/23,"N2 (kg, Bulk)",0,"2,600",155,"403,000"
담당자없음,가스코아산.,08/24,"Ar (kg, Bulk)",0,"6,870",490,"3,366,300"
담당자없음,가스코아산.,08/24,"Ar (kg, Bulk)",0,"2,268",500,"1,134,000"
담당자없음,가스코아산.,08/24,"CO2 (kg, Bulk)",0,"10,014",210,"2,102,940"
담당자없음,가스코아산.,08/24,"CO2 (kg, Bulk)",0,"5,015",210,"1,053,150"
담당자없음,가스코아산.,08/24,"CO2 (kg, Bulk)",0,"5,111",210,"1,073,310"
담당자없음,가스코아산.,08/24,"CO2 (kg, Bulk)",0,"3,001",210,"630,210"
담당자없음,가스코아산.,08/24,"CO2 (kg, Bulk)",0,"1,023",210,"214,830"
담당자없음,가스코아산.,08/24,"Mix (UHP, H2 0.15% + CO 5% + CO2 14% + N2 18% + He Bal)",0,13,"270,000","3,510,000"
담당자없음,가스코아산.,08/24,"N2 (kg, Bulk)",0,"2,826",155,"438,030"
담당자없음,가스코아산.,08/24,"N2 (kg, Bulk)",0,"6,588",145,"955,260"
담당자없음,가스코아산.,08/24,"O2 (kg, Bulk)",0,"10,084",140,"1,411,760"
담당자없음,가스코아산.,08/24,"O2 (UHP, 47L, 99.995%)",0,4,"31,500","126,000"
담당자없음,가스코아산.,08/25,"Ar (kg, Bulk)",0,"2,059",500,"1,029,500"
담당자없음,가스코아산.,08/25,"Ar (kg, Bulk)",0,"6,710",500,"3,355,000"
담당자없음,가스코아산.,08/25,"Ar (kg, Bulk)",0,"5,221",500,"2,610,500"
담당자없음,가스코아산.,08/25,"N2 (kg, Bulk)",0,"3,072",155,"476,160"
담당자없음,가스코아산.,08/25,"N2 (kg, Bulk)",0,"3,198",155,"495,690"
담당자없음,가스코아산.,08/26,"Ar (kg, Bulk)",0,"8,910",490,"4,365,900"
담당자없음,가스코아산.,08/26,"Ar (kg, Bulk)",0,"2,730",500,"1,365,000"
담당자없음,가스코아산.,08/26,"Ar (kg, Bulk)",0,"3,850",500,"1,925,000"
담당자없음,가스코아산.,08/27,"CO2 (kg, Bulk)",0,"4,570",210,"959,700"
담당자없음,가스코아산.,08/28,"Ar (kg, Bulk)",0,"2,190",500,"1,095,000"
담당자없음,가스코아산.,08/28,"CO2 (kg, Bulk)",0,"8,820",210,"1,852,200"
담당자없음,가스코아산.,08/28,"CO2 (kg, Bulk)",0,"8,520",210,"1,789,200"
담당자없음,가스코아산.,08/28,"N2 (kg, Bulk)",0,"2,660",155,"412,300"
담당자없음,가스코아산.,08/28,"O2 (kg, Bulk)",0,"3,300",160,"528,000"
담당자없음,가스코아산.,08/29,"Ar (kg, Bulk)",0,"3,703",500,"1,851,500"
담당자없음,가스코아산.,08/29,"CO2 (kg, Bulk)",0,"5,170",210,"1,085,700"
담당자없음,가스코아산.,08/29,"CO2 (kg, Bulk)",0,"3,360",210,"705,600"
담당자없음,가스코아산.,08/29,"CO2 (kg, Bulk)",0,"3,141",210,"659,610"
담당자없음,가스코아산.,08/30,"Ar (kg, Bulk)",0,"6,900",490,"3,381,000"
담당자없음,가스코아산.,08/30,"Ar (kg, Bulk)",0,"4,900",500,"2,450,000"
담당자없음,가스코아산.,08/30,"Ar (kg, Bulk)",0,"19,041",485,"9,234,885"
담당자없음,가스코아산.,08/30,"CO2 (kg, Bulk)",0,"9,130",210,"1,917,300"
담당자없음,가스코아산.,08/30,"CO2 (kg, Bulk)",0,"1,031",210,"216,510"
담당자없음,가스코아산.,08/30,"N2 (kg, Bulk)",0,"9,077",145,"1,316,165"
담당자없음,가스코아산.,08/30,"N2 (kg, Bulk)",0,"3,664",155,"567,920"
담당자없음,가스코아산.,08/31,"Ar (kg, Bulk)",0,"2,168",500,"1,084,000"
담당자없음,가스코아산.,08/31,"Ar (kg, Bulk)",0,"3,610",500,"1,805,000"
담당자없음,가스코아산.,08/31,"Ar (kg, Bulk)",0,"5,650",500,"2,825,000"
담당자없음,가스코아산.,08/31,"CO2 (kg, Bulk)",0,"3,306",210,"694,260"
담당자없음,가스코아산.,08/31,"CO2 (kg, Bulk)",0,"8,001",210,"1,680,210"
담당자없음,가스코아산.,08/31,"CO2 (kg, Bulk)",0,"10,000",210,"2,100,000"
담당자없음,가스코아산.,08/31,"N2 (kg, Bulk)",0,"2,702",155,"418,810"
담당자없음,가스코아산.,08/31,"N2 (kg, Bulk)",0,"4,549",155,"705,095"
담당자없음,가스코아산.,08/31,"O2 (kg, Bulk)",0,"10,775",140,"1,508,500"
담당자없음,가스코아산.,09/01,"Ar (kg, Bulk)",0,"3,039",500,"1,519,500"
담당자없음,가스코아산.,09/01,"Ar (kg, Bulk)",0,"5,900",500,"2,950,000"
담당자없음,가스코아산.,09/01,"Ar (kg, Bulk)",0,"6,583",500,"3,291,500"
담당자없음,가스코아산.,09/01,"N2 (kg, Bulk)",0,"2,561",155,"396,955"
담당자없음,가스코아산.,09/01,"N2 (kg, Bulk)",0,"2,009",155,"311,395"
담당자없음,가스코아산.,09/04,"Ar (kg, Bulk)",0,"8,500",490,"4,165,000"
담당자없음,가스코아산.,09/04,"Ar (kg, Bulk)",0,"4,190",500,"2,095,000"
담당자없음,가스코아산.,09/04,"CO2 (kg, Bulk)",0,"11,500",210,"2,415,000"
담당자없음,가스코아산.,09/04,"CO2 (kg, Bulk)",0,"2,890",210,"606,900"
담당자없음,가스코아산.,09/04,"CO2 (kg, Bulk)",0,"2,271",210,"476,910"
담당자없음,가스코아산.,09/04,"N2 (kg, Bulk)",0,"2,539",155,"393,545"
담당자없음,가스코아산.,09/04,"N2 (kg, Bulk)",0,"8,763",155,"1,358,265"
담당자없음,가스코아산.,09/04,"N2 (kg, Bulk)",0,"5,956",155,"923,180"
담당자없음,가스코아산.,09/04,"N2 (kg, Bulk)",0,"3,007",155,"466,085"
담당자없음,가스코아산.,09/04,"N2 (kg, Bulk)",0,"2,533",155,"392,615"
담당자없음,가스코아산.,09/04,"O2 (kg, Bulk)",0,"3,766",160,"602,560"
담당자없음,가스코아산.,09/05,"Ar (kg, Bulk)",0,"3,050",500,"1,525,000"
담당자없음,가스코아산.,09/05,"Ar (kg, Bulk)",0,946,500,"473,000"
담당자없음,가스코아산.,09/05,"Ar (kg, Bulk)",0,"4,988",500,"2,494,000"
담당자없음,가스코아산.,09/05,"Ar (kg, Bulk)",0,"3,005",500,"1,502,500"
담당자없음,가스코아산.,09/05,"CO2 (kg, Bulk)",0,"3,136",210,"658,560"
담당자없음,가스코아산.,09/05,"CO2 (kg, Bulk)",0,"2,883",210,"605,430"
담당자없음,가스코아산.,09/05,"CO2 (kg, Bulk)",0,"4,100",210,"861,000"
담당자없음,가스코아산.,09/05,"CO2 (kg, Bulk)",0,"4,151",210,"871,710"
담당자없음,가스코아산.,09/05,"N2 (kg, Bulk)",0,"9,886",145,"1,433,470"
담당자없음,가스코아산.,09/05,"N2 (kg, Bulk)",0,"4,305",155,"667,275"
담당자없음,가스코아산.,09/06,"Ar (kg, Bulk)",0,"5,890",490,"2,886,100"
담당자없음,가스코아산.,09/06,"Ar (kg, Bulk)",0,"5,690",500,"2,845,000"
담당자없음,가스코아산.,09/06,"Ar (kg, Bulk)",0,"4,287",500,"2,143,500"
담당자없음,가스코아산.,09/06,"Ar (kg, Bulk)",0,"14,836",485,"7,195,460"
담당자없음,가스코아산.,09/06,"CO2 (kg, Bulk)",0,"5,215",210,"1,095,150"
담당자없음,가스코아산.,09/06,"CO2 (kg, Bulk)",0,"4,103",210,"861,630"
담당자없음,가스코아산.,09/06,"CO2 (kg, Bulk)",0,"3,930",210,"825,300"
담당자없음,가스코아산.,09/06,"CO2 (kg, Bulk)",0,"8,021",210,"1,684,410"
담당자없음,가스코아산.,09/06,"CO2 (kg, Bulk)",0,"6,800",210,"1,428,000"
담당자없음,가스코아산.,09/06,"N2 (kg, Bulk)",0,"4,541",155,"703,855"
담당자없음,가스코아산.,09/07,"O2 (kg, Bulk)",0,"12,072",140,"1,690,080"
담당자없음,가스코아산.,09/07,"O2 (kg, Bulk)",0,"2,832",160,"453,120"
담당자없음,가스코아산.,09/08,"Ar (kg, Bulk)",0,"2,625",500,"1,312,500"
담당자없음,가스코아산.,09/08,"Ar (kg, Bulk)",0,"2,412",500,"1,206,000"
담당자없음,가스코아산.,09/08,"Ar (kg, Bulk)",0,"6,150",500,"3,075,000"
담당자없음,가스코아산.,09/08,"Ar (kg, Bulk)",0,"3,970",500,"1,985,000"
담당자없음,가스코아산.,09/08,"Ar (kg, Bulk)",0,"4,540",500,"2,270,000"
담당자없음,가스코아산.,09/08,"N2 (kg, Bulk)",0,"2,726",155,"422,530"
담당자없음,가스코아산.,09/08,"N2 (kg, Bulk)",0,"1,851",155,"286,905"
담당자없음,가스코아산.,09/10,"CO2 (kg, Bulk)",0,"21,580",210,"4,531,800"
담당자없음,가스코아산.,09/10,"CO2 (kg, Bulk)",0,"21,280",210,"4,468,800"
담당자없음,가스코아산.,09/10,"CO2 (kg, Bulk)",0,"3,206",210,"673,260"
담당자없음,가스코아산.,09/11,"Ar (kg, Bulk)",0,"8,570",490,"4,199,300"
담당자없음,가스코아산.,09/11,"Ar (kg, Bulk)",0,"3,440",500,"1,720,000"
담당자없음,가스코아산.,09/11,"CO2 (kg, Bulk)",0,"3,120",210,"655,200"
담당자없음,가스코아산.,09/11,"CO2 (kg, Bulk)",0,"21,190",210,"4,449,900"
담당자없음,가스코아산.,09/11,"N2 (kg, Bulk)",0,"8,878",155,"1,376,090"
담당자없음,가스코아산.,09/11,"N2 (kg, Bulk)",0,"4,706",155,"729,430"
담당자없음,가스코아산.,09/11,"N2 (kg, Bulk)",0,"5,270",145,"764,150"
담당자없음,가스코아산.,09/12,"Ar (kg, Bulk)",0,"3,004",500,"1,502,000"
담당자없음,가스코아산.,09/12,"CO2 (kg, Bulk)",0,"10,450",210,"2,194,500"
담당자없음,가스코아산.,09/12,"CO2 (kg, Bulk)",0,"3,570",210,"749,700"
담당자없음,가스코아산.,09/12,"CO2 (kg, Bulk)",0,"9,421",210,"1,978,410"
담당자없음,가스코아산.,09/12,"CO2 (kg, Bulk)",0,"7,860",210,"1,650,600"
담당자없음,가스코아산.,09/12,"CO2 (UHP, 20kg, 99.995%)",1,0,"35,000",0
담당자없음,가스코아산.,09/12,"Mix (UHP, H2 0.15% + CO 5% + CO2 14% + N2 18% + He Bal)",4,0,"270,000",0
담당자없음,가스코아산.,09/12,"O2 (UHP, 47L, 99.995%)",2,0,"31,500",0
담당자없음,가스코아산.,09/12,"O2 (UHP, 47L, 99.999%)",0,0,"45,000",0
담당자없음,가스코아산.,09/12,"O2 (UHP, 47L, 99.999%)",0,1,"45,000","45,000"
담당자없음,가스코아산.,09/13,"Ar (kg, Bulk)",0,"5,110",490,"2,503,900"
담당자없음,가스코아산.,09/13,"Ar (kg, Bulk)",0,"6,030",500,"3,015,000"
담당자없음,가스코아산.,09/13,"Ar (kg, Bulk)",0,"3,500",500,"1,750,000"
담당자없음,가스코아산.,09/13,"Ar (kg, Bulk)",0,"4,010",500,"2,005,000"
담당자없음,가스코아산.,09/13,"Ar (kg, Bulk)",0,"6,880",500,"3,440,000"
담당자없음,가스코아산.,09/13,"CO2 (kg, Bulk)",0,"10,000",210,"2,100,000"
담당자없음,가스코아산.,09/13,"CO2 (kg, Bulk)",0,"5,001",210,"1,050,210"
담당자없음,가스코아산.,09/13,"CO2 (kg, Bulk)",0,"8,690",210,"1,824,900"
담당자없음,가스코아산.,09/13,"N2 (kg, Bulk)",0,"3,604",155,"558,620"
담당자없음,가스코아산.,09/13,"O2 (kg, Bulk)",0,"4,352",150,"652,800"
담당자없음,가스코아산.,09/14,"Ar (kg, Bulk)",0,"16,174",485,"7,844,390"
담당자없음,가스코아산.,09/14,"CO2 (kg, Bulk)",0,"3,913",210,"821,730"
담당자없음,가스코아산.,09/14,"CO2 (kg, Bulk)",0,"2,382",210,"500,220"
담당자없음,가스코아산.,09/14,"N2 (kg, Bulk)",0,"2,304",155,"357,120"
담당자없음,가스코아산.,09/14,"N2 (kg, Bulk)",0,"7,412",145,"1,074,740"
담당자없음,가스코아산.,09/14,"O2 (kg, Bulk)",0,"9,786",140,"1,370,040"
담당자없음,가스코아산.,09/15,"Ar (kg, Bulk)",0,"6,610",500,"3,305,000"
담당자없음,가스코아산.,09/15,"Ar (kg, Bulk)",0,"2,899",500,"1,449,500"
담당자없음,가스코아산.,09/15,"Ar (kg, Bulk)",0,"6,356",500,"3,178,000"
담당자없음,가스코아산.,09/15,"O2 (kg, Bulk)",0,"3,081",160,"492,960"
담당자없음,가스코아산.,09/17,"CO2 (kg, Bulk)",0,"3,612",210,"758,520"
담당자없음,가스코아산.,09/17,"CO2 (kg, Bulk)",0,"9,241",210,"1,940,610"
담당자없음,가스코아산.,09/18,"Ar (kg, Bulk)",0,"7,330",490,"3,591,700"
담당자없음,가스코아산.,09/18,"Ar (kg, Bulk)",0,"3,930",500,"1,965,000"
담당자없음,가스코아산.,09/18,"Ar (kg, Bulk)",0,"3,458",500,"1,729,000"
담당자없음,가스코아산.,09/18,"CO2 (kg, Bulk)",0,"4,150",210,"871,500"
담당자없음,가스코아산.,09/18,"CO2 (kg, Bulk)",0,"4,051",210,"850,710"
담당자없음,가스코아산.,09/18,"CO2 (kg, Bulk)",0,"2,579",210,"541,590"
담당자없음,가스코아산.,09/18,"CO2 (kg, Bulk)",0,"4,800",210,"1,008,000"
